000288         	GlobalVillag
000289         	DNETechnolog
00028a         	AmbitMicrosy
00028b         	VDSL
00028c         	MicrelSynerg
00028d         	MovitaTechno
00028e         	Rapid5Networ
00028f         	Globetek
000290         	Woorigisool
000291         	OpenNetwork
000292         	LogicInnovat
000293         	SolidData
000294         	TokyoSokushi
000295         	IPAccess
000296         	Lectron
000297         	CCORnet
000298         	Broadframe
000299         	Apex
00029a         	StorageApps
00029b         	KreatelCommu
00029c         	3Com
00029d         	Merix
00029e         	InformationE
00029f         	L3Communicat
0002a0         	Flatstack
0002a1         	WorldWidePac
0002a2         	Hilscher
0002a3         	HitachiEnerg
0002a4         	AddPacTechno
0002a5         	HewlettPacka
0002a6         	Effinet
0002a7         	VivaceNetwor
0002a8         	AirLinkTechn
0002a9         	RACOMsro
0002aa         	PLcom
0002ab         	CTCUnionTech
0002ac         	3PARdata
0002ad         	HOYA
0002ae         	ScannexElect
0002af         	TeleCruzTech
0002b0         	HokubuCommun
0002b1         	Anritsu
0002b2         	Cablevision
0002b3         	Intel
0002b4         	Daphne
0002b5         	Avnet
0002b6         	AcrosserTech
0002b7         	WatanabeElec
0002b8         	WhiKonsult
0002b9         	Cisco
0002ba         	Cisco
0002bb         	ContinuousCo
0002bc         	LVL7
0002bd         	Bionet
0002be         	TotsuEnginee
0002bf         	dotRocket
0002c0         	BencentTzeng
0002c1         	InnovativeEl
0002c2         	NetVisionTel
0002c3         	Arelnet
0002c4         	OPTMachineVi
0002c5         	EvertzMicros
0002c6         	DataTrackTec
0002c7         	Alpsalpine
0002c8         	TechnocomCom
0002c9         	MellanoxTech
0002ca         	EndPoints
0002cb         	TriState
0002cc         	MCCI
0002cd         	TeleDream
0002ce         	FoxJet
0002cf         	ZyGateCommun
0002d0         	Comdial
0002d1         	Vivotek
0002d2         	Workstation
0002d3         	NetBotz
0002d4         	PDAPeriphera
0002d5         	Acr
0002d6         	NICE
0002d7         	EMPEG
0002d8         	BRECISCommun
0002d9         	ReliableCont
0002da         	ExiOCommunic
0002db         	Netsec
0002dc         	FujitsuGener
0002dd         	BromaxCommun
0002de         	Astrodesign
0002df         	NetCom
0002e0         	ETAS
0002e1         	IntegratedNe
0002e2         	NDCInfaredEn
0002e3         	LITEONCommun
0002e4         	JCHYUN
0002e5         	Timeware
0002e6         	GouldInstrum
0002e7         	CAB
0002e8         	ED&A
0002e9         	CSSystemesDe
0002ea         	FocusEnhance
0002eb         	PicoCommunic
0002ec         	MaschoffDesi
0002ed         	DXOTelecom
0002ee         	NokiaDanmark
0002ef         	CCCNetworkGr
0002f0         	AMEOptimedia
0002f1         	Pinetron
0002f2         	eDevice
0002f3         	MediaServe
0002f4         	PCTEL
0002f5         	VIVESynergie
0002f6         	EquipeCommun
0002f7         	Arm
0002f8         	SEAKREnginee
0002f9         	MIMOSBerhad
0002fa         	DXAntenna
0002fb         	BaumullerAul
0002fc         	Cisco
0002fd         	Cisco
0002fe         	Viditec
0002ff         	HandanBroadI
000300         	BarracudaNet
000301         	Exfo
000302         	CharlesIndus
000303         	JAMAElectron
000304         	PacificBroad
000305         	MSCVertriebs
000306         	FusionInTech
000307         	SecureWorks
000308         	AMCommunicat
000309         	TexcelTechno
00030a         	ArgusTechnol
00030b         	HunterTechno
00030c         	TelesoftTech
00030d         	UniwillCompu
00030e         	CoreCommunic
00030f         	DigitalChina
000310         	EGlobaledge
000311         	MicroTechnol
000312         	TRsystems
000313         	AccessMedia
000314         	TelewareNetw
000315         	Cidco
000316         	NobellCommun
000317         	Merlin
000318         	Cyras
000319         	Infineon
00031a         	BroadTelecom
00031b         	Cellvision
00031c         	SvenskaHardv
00031d         	TaiwanCommat
00031e         	Optranet
00031f         	Condev
000320         	Xpeed
000321         	RecoResearch
000322         	IDIS
000323         	CornetTechno
000324         	LIMNO
000325         	ArimaCompute
000326         	IwasakiInfor
000327         	HMSIndustria
000328         	MaceGroup
000329         	F3
00032a         	UniDataCommu
00032b         	GAIDatenfunk
00032c         	ABBSwitzerla
00032d         	IBASETechnol
00032e         	ScopeInforma
00032f         	GlobalSunTec
000330         	Imagenics
000331         	Cisco
000332         	Cisco
000333         	Digitel
000334         	OmegaEnginee
000335         	MiraeTechnol
000336         	ZetesTechnol
000337         	Vaone
000338         	OakTechnolog
000339         	Eurologic
00033a         	SiliconWave
00033b         	TAMITech
00033c         	Daiden
00033d         	ILSHinLab
